loc,address,value,geo,levels,type,size
"(-9.602297432109038, -72.41672605109487)","Caupolicán 3866
Ancud, Región de Los Lagos, 2907330",$4534.85 USD,---,0,vivienda,771.79 mts2
"(-11.258949204044612, -72.81470922439696)","Avenida Lautaro 562
San Rafael, Región del Maule, 6586360",$2108.09 USD,---,4,oficinas,926.21 mts2
"(-12.222313310553355, -70.40013443249768)","Esmeralda 78 Of. 8336
Ránquil, Región de Ñuble, 4448780",$2085.94 USD,---,6,vivienda,1996.80 mts2
"(-13.352459261616302, -79.19752641978735)","Av. Paola Vargas 184 Of. 7232
Ercilla, Región de La Araucanía, 5341130",$4260.04 USD,---,7,oficinas,30.53 mts2
"(-9.731822898798852, -75.67620032292531)","Las Azucenas 2
Vitacura, Región Metropolitana",$4863.74 USD,---,4,comercial,806.39 mts2
"(-11.262728986395578, -73.81398520523568)","Ruta 5 Sur, km 686",$2030.77 USD,---,4,oficinas,863.38 mts2
"(-9.914336565881618, -74.83509410893886)","Víctor Bravo 3741
Puente Alto, Región Metropolitana, 7136220",$4346.50 USD,---,4,comercial,1375.29 mts2
"(-10.78131858741881, -72.6516968771523)","Calle Casanova 502
San Pedro, Región Metropolitana, 4940210",$3761.50 USD,---,8,comercial,176.66 mts2
"(-10.483836819871714, -75.4848879606332)","Gerardo Martínez 80
Algarrobo, Región de Valparaíso, 1415350",$2980.48 USD,---,8,oficinas,487.56 mts2
"(-10.758723325235858, -72.55255851843695)","Calle Picarte 5714 Of. 124
Puyehue, Región de Los Lagos",$4002.57 USD,---,4,oficinas,417.66 mts2
"(-10.763783336399019, -73.90179060714263)","Ruta 5 Norte, km 738",$4620.70 USD,---,4,oficinas,878.52 mts2
"(-11.343756186967202, -75.08673840394708)","Las Hortensias 5431
Pitrufquén, Región de La Araucanía, 6033980",$3319.95 USD,---,10,vivienda,706.89 mts2
"(-10.017558808405294, -76.49532355934855)","Pedro Contreras 9263 Piso 16
Calbuco, Región de Los Lagos, 1476500",$2114.79 USD,---,2,oficinas,86.24 mts2
"(-9.864677024196546, -73.33522470240456)","Las Malvas 2828
Independencia, Región Metropolitana",$4302.37 USD,---,7,oficinas,896.32 mts2
"(-9.683363757126545, -77.58969244167066)","Av. Las Mosquetas 107
Corral, Región de Los Ríos, 5012330",$2966.49 USD,---,2,oficinas,524.30 mts2
"(-12.952133871243547, -73.76746100115851)","Ruta 5 Norte, km 907",$4155.86 USD,---,10,oficinas,946.27 mts2
"(-9.707075143989314, -75.29128139300258)","Fabiola Escobar 975
Toltén, Región de La Araucanía",$3923.93 USD,---,9,vivienda,1536.57 mts2
"(-12.487938259459428, -75.63137730515952)","Calle Jorge Cancino 7804
Lago Verde, Región de Aysén del General Carlos Ibáñez del Campo",$4155.12 USD,---,8,oficinas,1744.60 mts2
"(-10.801318476453146, -73.30214668731999)","Calle Manuel Rodríguez 377
Pichilemu, Región del Libertador General Bernardo O'Higgins",$3319.42 USD,---,8,comercial,1955.70 mts2
"(-11.358535664800176, -72.56245930295614)","Avda. Cristian Morales 2780 Dpto. 04
Doñihue, Región del Libertador General Bernardo O'Higgins",$2207.09 USD,---,2,oficinas,834.58 mts2
"(-8.215188057237174, -72.7533827721678)","Calle Las Araucarias 5228
Alhué, Región Metropolitana, 0275140",$3577.26 USD,---,1,vivienda,1835.65 mts2
"(-12.492001720136745, -76.27955444652387)","Psje. Los Copihues 8509
Curacaví, Región Metropolitana, 0379910",$3807.36 USD,---,4,oficinas,770.86 mts2
"(-13.414837420050148, -73.83733492587234)","Los Aromos 7532 Piso 46
Calera, Región de Valparaíso, 5036890",$2637.43 USD,---,9,oficinas,645.15 mts2
"(-9.834797411041546, -71.73184982323005)","Ruta U-370, km 7, Región de Antofagasta",$4585.29 USD,---,4,oficinas,1022.89 mts2
"(-9.05389645189762, -76.10273492592576)","Los Piñones 313
Combarbalá, Región de Coquimbo, 3469690",$4081.89 USD,---,2,vivienda,294.30 mts2
"(-11.166515831414515, -70.89945354230989)","Los Abedules 1044 Of. 951
Chillán Viejo, Región de Ñuble, 1405420",$4346.07 USD,---,6,vivienda,1001.02 mts2
"(-10.365219536292082, -78.20681308991564)","Calle Claudia Concha 27 Of. 6926
Guaitecas, Región de Aysén del General Carlos Ibáñez del Campo, 3732460",$3566.50 USD,---,1,vivienda,382.26 mts2
"(-11.845174162502701, -77.08848352173645)","Lorena Estay 840 Of. 4206
Río Hurtado, Región de Coquimbo, 4680480",$2316.76 USD,---,7,oficinas,1957.74 mts2
"(-13.16183259443879, -74.4838595777697)","Avenida Luis Torres 2211 Dpto. 4218
San Ignacio, Región de Ñuble",$3222.28 USD,---,0,comercial,176.26 mts2
"(-9.717363852251632, -76.89375792792677)","Calle Baquedano 1
San José de Maipo, Región Metropolitana",$4381.95 USD,---,9,vivienda,1471.56 mts2
"(-10.517906069994147, -77.31345720509792)","Los Girasoles 6631 Piso 3
La Higuera, Región de Coquimbo, 2936000",$2001.74 USD,---,7,comercial,892.74 mts2
"(-10.135378542343958, -75.78093540432964)","Avda. Bernardo O'Higgins 459
Los Álamos, Región del Biobío, 8814230",$3703.32 USD,---,6,vivienda,822.48 mts2
"(-8.93546149276485, -78.1857665102234)","Ruta 5 Norte, km 301",$4923.41 USD,---,9,vivienda,630.83 mts2
"(-9.69907148997586, -72.66404250040475)","Calle Oscar Pavez 748
Tortel, Región de Aysén del General Carlos Ibáñez del Campo",$4808.85 USD,---,10,comercial,299.53 mts2
"(-11.202369367806035, -76.10990553455186)","Calle Los Coihues 8640 Dpto. 811
Frutillar, Región de Los Lagos, 3195440",$2964.15 USD,---,0,oficinas,1358.82 mts2
"(-8.305642885787321, -77.97241097991866)","Miguel Oliva 953
Lolol, Región del Libertador General Bernardo O'Higgins, 0267540",$4716.35 USD,---,2,vivienda,1641.04 mts2
"(-10.536217050703845, -72.84875470252565)","Ruta 5 Sur, km 766",$2454.39 USD,---,2,comercial,1696.96 mts2
"(-10.586987281389199, -74.23323202585806)","Ruta 5 Sur, km 444",$3329.94 USD,---,3,oficinas,168.11 mts2
"(-11.06086903500643, -76.10237084213658)","Wilson Villarroel 5549
Limache, Región de Valparaíso",$2026.93 USD,---,8,vivienda,1252.79 mts2
"(-11.793622580903918, -76.09506946190974)","Calle Los Alerces 17 Of. 5834
Padre Hurtado, Región Metropolitana",$2701.14 USD,---,3,comercial,1701.11 mts2
"(-11.630519075274076, -74.7237470817994)","Andrés Allende 189
Tucapel, Región del Biobío",$2596.94 USD,---,4,vivienda,164.12 mts2
"(-10.309443992376885, -73.16037725730429)","Caupolicán 302 Of. 513
Vicuña, Región de Coquimbo",$2871.84 USD,---,2,oficinas,463.93 mts2
"(-7.070423043027689, -77.29320504001157)","Calle Los Alerces 971 Dpto. 315
Vicuña, Región de Coquimbo",$2777.93 USD,---,8,vivienda,603.12 mts2
"(-12.386725684561895, -70.91029327267873)","Marcelina Villalobos 8 Dpto. 96
Huasco, Región de Atacama",$4653.02 USD,---,4,comercial,429.60 mts2
"(-13.580946156441914, -74.68794331312233)","Ruta 794-CH, km 35, Región del Maule",$4845.63 USD,---,0,comercial,654.99 mts2
"(-10.395537878759223, -75.62630120709736)","Los Digitales 526
Copiapó, Región de Atacama, 9333650",$2638.30 USD,---,8,comercial,410.18 mts2
"(-8.436181426272235, -74.84624532332815)","Calle Los Aromos 1307 Of. 746
Tomé, Región del Biobío",$3289.74 USD,---,4,comercial,1600.11 mts2
"(-10.051956345029504, -73.00156235255196)","Calle José Victorino Lastarria 53
Pudahuel, Región Metropolitana",$3936.15 USD,---,8,comercial,241.03 mts2
"(-11.50598406697606, -72.96990511941705)","Calle Esmeralda 505
Galvarino, Región de La Araucanía, 3732120",$3217.59 USD,---,0,oficinas,1816.63 mts2
"(-9.00844154709685, -77.94156234540496)","Eduardo Soto 17
Lampa, Región Metropolitana, 2969650",$4531.65 USD,---,2,comercial,1514.18 mts2
"(-11.954201041753604, -74.72233989680083)","Héctor Valladares 255
Huara, Región de Tarapacá, 7349000",$3577.87 USD,---,0,oficinas,601.41 mts2
"(-9.027032133226925, -72.72131114671755)","Ruta 5 Sur, km 889",$3401.69 USD,---,6,vivienda,1349.64 mts2
"(-11.183740192770966, -76.40602993329284)","Ruta T-89, km 2, Región del Maule",$2788.09 USD,---,3,vivienda,1146.96 mts2
"(-10.007316305146906, -76.27932811534104)","Carlos Rodríguez 201
Hualqui, Región del Biobío",$4240.66 USD,---,6,vivienda,1243.40 mts2
"(-8.741481567934573, -72.93823248578202)","Manuel Rodríguez 929
Molina, Región del Maule",$2576.90 USD,---,0,oficinas,1494.31 mts2
"(-12.835082071351986, -75.67745248616605)","Las Margaritas 4800
Llanquihue, Región de Los Lagos, 7410250",$3910.69 USD,---,0,comercial,246.15 mts2
"(-11.934424448844016, -74.98169932100181)","Calle Tomás González 582 Of. 622
Requínoa, Región del Libertador General Bernardo O'Higgins",$2586.70 USD,---,0,oficinas,256.87 mts2
"(-10.34180414342726, -75.75634601033887)","Av. Rosario Barriga 177 Piso 6
San Vicente, Región del Libertador General Bernardo O'Higgins, 5854300",$4274.77 USD,---,3,vivienda,1095.41 mts2
"(-10.40263952072837, -76.91564938497618)","Caupolicán 9208 Of. 276
Huara, Región de Tarapacá, 9900660",$4629.75 USD,---,10,vivienda,1921.00 mts2
"(-10.587204357696054, -72.7412151096959)","Av. Los Robles 55 Piso 2
Illapel, Región de Coquimbo",$2643.20 USD,---,9,oficinas,1573.51 mts2
"(-10.826983743127398, -73.69693971671538)","Calle Manuel Fernández 135 Of. 843
Mejillones, Región de Antofagasta, 4009700",$2348.50 USD,---,3,vivienda,1122.44 mts2
"(-10.881792119017305, -76.12276653289753)","Calle Baquedano 153 Of. 7956
Quillón, Región de Ñuble, 5094020",$4205.51 USD,---,9,oficinas,1131.75 mts2
"(-9.892303426181888, -74.82020889279917)","Pasaje Las Hortensias 9
Porvenir, Región de Magallanes y de la Antártica Chilena",$2505.04 USD,---,1,comercial,1453.05 mts2
"(-10.924246659912798, -79.13501232674727)","Sofía López 71
Tomé, Región del Biobío, 5122000",$4424.63 USD,---,3,vivienda,804.73 mts2
"(-13.426339574987605, -71.98816254578986)","Avda. Sofía Oyarzo 369 Piso 7
Pichilemu, Región del Libertador General Bernardo O'Higgins",$4827.43 USD,---,7,comercial,1114.74 mts2
"(-12.143009634331072, -78.44913310692483)","Ruta 5 Sur, km 191",$4237.46 USD,---,9,oficinas,587.33 mts2
"(-10.60215944354327, -79.14415145317228)","Avda. Marco Miranda 14 Piso 46
Lo Prado, Región Metropolitana, 6330640",$2083.42 USD,---,1,comercial,256.54 mts2
"(-9.733630009205969, -75.69220837253864)","Ruta 5 Norte, km 844",$4756.15 USD,---,0,comercial,554.98 mts2
"(-10.164280234980977, -76.53525527758698)","Avda. Vicuña Mackenna 347
Mariquina, Región de Los Ríos, 4251240",$4049.65 USD,---,0,comercial,1411.22 mts2
"(-11.132079757145597, -74.6864477210833)","Diego Muñoz 2577 Dpto. 934
Las Cabras, Región del Libertador General Bernardo O'Higgins",$4472.75 USD,---,5,oficinas,1737.92 mts2
"(-11.156841545010446, -73.48813558160674)","Calle Fernanda Ortega 392
Rauco, Región del Maule",$2179.74 USD,---,10,comercial,873.03 mts2
"(-11.754282457714737, -77.85474684046503)","Ruta U-748, km 12, Región de Antofagasta",$4574.81 USD,---,2,comercial,1005.18 mts2
"(-11.09286025342889, -74.0650011212635)","Psje. Caupolicán 9236
Portezuelo, Región de Ñuble, 0765080",$4099.88 USD,---,4,oficinas,1298.64 mts2
"(-9.934517960253197, -73.92234549416439)","Calle José Miguel Carrera 402
Mulchén, Región del Biobío",$3934.41 USD,---,7,comercial,42.27 mts2
"(-10.698070875219258, -77.79883581650999)","Calle Los Copihues 44
Lago Verde, Región de Aysén del General Carlos Ibáñez del Campo, 7229810",$3889.87 USD,---,8,vivienda,1486.34 mts2
"(-10.851487053812392, -77.70147107945166)","Los Robles 6374 Dpto. 913
Olivar, Región del Libertador General Bernardo O'Higgins",$4772.31 USD,---,4,oficinas,1967.52 mts2
"(-12.10197533605794, -76.01362377771066)","Calle Las Manzanillas 48 Dpto. 53
El Bosque, Región Metropolitana, 2756690",$2212.87 USD,---,0,comercial,1780.76 mts2
"(-8.371431526387218, -75.45246261462812)","Las Lilas 537
Rauco, Región del Maule",$2698.56 USD,---,8,oficinas,433.55 mts2
"(-11.918973117078474, -75.34820997458168)","Av. Las Malvas 156 Of. 8709
Freire, Región de La Araucanía",$2931.52 USD,---,2,oficinas,186.77 mts2
"(-8.607102337588659, -72.75078173847267)","Ruta U-803, km 35, Región de Magallanes y de la Antártica Chilena",$2162.95 USD,---,6,vivienda,1008.40 mts2
"(-11.014896664028903, -78.69009276445698)","Psje. Álvaro Casanova 6706
Requínoa, Región del Libertador General Bernardo O'Higgins, 5205180",$3148.02 USD,---,6,vivienda,1670.69 mts2
"(-10.889065762891084, -75.93172175240322)","Psje. Lautaro 204
Tortel, Región de Aysén del General Carlos Ibáñez del Campo, 0977990",$3092.53 USD,---,0,vivienda,276.91 mts2
"(-12.16337821741941, -74.09250411853016)","Avda. Francisco Romero 614 Dpto. 980
Chimbarongo, Región del Libertador General Bernardo O'Higgins, 7843440",$2494.40 USD,---,2,vivienda,371.64 mts2
"(-11.596916019918956, -80.3438949438154)","Ruta T-80, km 9, Región de Valparaíso",$3148.02 USD,---,0,oficinas,1370.60 mts2
"(-9.657919071436991, -76.3441274219041)","Ruta 5 Norte, km 947",$4732.48 USD,---,3,oficinas,198.79 mts2
"(-12.776471796237379, -75.38244671463995)","Calle Caupolicán 143 Dpto. 52
Renaico, Región de La Araucanía",$2284.53 USD,---,10,comercial,1991.44 mts2
"(-11.184020576920622, -77.23034081818113)","Ruta 5 Sur, km 575",$2529.72 USD,---,3,comercial,685.67 mts2
"(-9.614753474986546, -73.10706348515001)","Calle Esmeralda 8
Temuco, Región de La Araucanía",$2611.82 USD,---,10,oficinas,1935.03 mts2
"(-12.448968395621277, -75.72241455224778)","Calle Las Hortensias 92 Of. 8851
Quilpué, Región de Valparaíso, 6391780",$3205.75 USD,---,0,comercial,634.50 mts2
"(-9.53634924467272, -75.23994415764898)","Natalia Díaz 86 Piso 9
San Ignacio, Región de Ñuble",$4847.45 USD,---,4,oficinas,189.00 mts2
"(-7.855028101315016, -77.70856795857645)","Ruta 5 Sur, km 839",$4792.89 USD,---,8,vivienda,108.02 mts2
"(-10.739704485068245, -74.52138742908134)","Caupolicán 589 Of. 9444
Tocopilla, Región de Antofagasta, 1589700",$4359.41 USD,---,8,comercial,1382.09 mts2
"(-11.442119297261012, -72.76496991261989)","Pedro Montt 615
Talagante, Región Metropolitana",$2181.55 USD,---,1,oficinas,946.56 mts2
"(-8.698128390461134, -73.59624095849672)","Ruta U-833, km 12, Región de La Araucanía",$3546.96 USD,---,7,vivienda,246.26 mts2
"(-10.834849320733015, -73.38107042244737)","Calle Las Mosquetas 441
Curanilahue, Región del Biobío",$4372.36 USD,---,3,comercial,133.44 mts2
"(-11.121028144994122, -77.01590184353677)","Patricio Bustamante 9774 Piso 2
La Estrella, Región del Libertador General Bernardo O'Higgins",$3088.61 USD,---,9,vivienda,700.73 mts2
"(-9.332930921397272, -75.57084230860487)","Av. Los Helechos 518
Coltauco, Región del Libertador General Bernardo O'Higgins, 9016010",$3475.09 USD,---,6,oficinas,1957.93 mts2
"(-10.132557710713712, -71.73366735125708)","Ruta T-78, km 29, Región de Los Ríos",$3457.62 USD,---,7,oficinas,1554.12 mts2
"(-14.262464702684998, -74.43644089518564)","Calle Julio Ríos 7004
Quintero, Región de Valparaíso",$2546.45 USD,---,0,vivienda,378.51 mts2
"(-12.19225828048883, -75.37978281181913)","Avenida Cristian Cid 831 Piso 9
Illapel, Región de Coquimbo",$2518.02 USD,---,4,comercial,266.25 mts2
"(-11.138272316378398, -74.52372281300669)","Ruta U-793, km 12, Región de Los Ríos",$4225.10 USD,---,9,oficinas,562.45 mts2
"(-13.118077241718483, -76.30216603149871)","Lautaro 43 Of. 6867
Nancagua, Región del Libertador General Bernardo O'Higgins",$4568.95 USD,---,7,vivienda,212.17 mts2
"(-9.016973761056477, -70.41162173296372)","Ruta 5 Norte, km 564",$4405.05 USD,---,6,vivienda,146.68 mts2
"(-9.818446659595073, -76.30879318807413)","Calle Orlando Arias 433 Dpto. 42
Papudo, Región de Valparaíso",$4624.17 USD,---,9,vivienda,1451.26 mts2
"(-7.637608433490116, -74.98942626504477)","Avenida Ariel Villablanca 4374 Piso 4
Lago Ranco, Región de Los Ríos, 5059260",$3943.66 USD,---,8,oficinas,715.22 mts2
"(-10.390878514461788, -74.13600564570292)","Los Aromos 6
Calera, Región de Valparaíso",$3828.50 USD,---,0,comercial,1096.02 mts2
"(-11.172998000087146, -74.5165156477884)","Las Mosquetas 3207 Of. 1755
Vitacura, Región Metropolitana, 1443320",$3854.21 USD,---,4,oficinas,1654.49 mts2
"(-11.04204265052903, -78.6303428912592)","Roberto Castillo 1251
Iquique, Región de Tarapacá",$2430.38 USD,---,4,comercial,1270.60 mts2
"(-11.803289718973998, -76.66395358255501)","Ruta 747-CH, km 6, Región de Los Lagos",$4632.82 USD,---,3,oficinas,1569.76 mts2
"(-11.0926890294232, -73.63943534034432)","Avenida Los Alerces 3531
Puerto Montt, Región de Los Lagos",$4725.30 USD,---,3,vivienda,1192.34 mts2
"(-6.882397363028831, -72.90194257279697)","Ruta U-717, km 6, Región del Libertador General Bernardo O'Higgins",$3387.16 USD,---,10,vivienda,824.09 mts2
"(-10.295590603415732, -77.29957944222195)","Ruta 976-CH, km 34, Región de Atacama",$4688.14 USD,---,7,vivienda,1757.27 mts2
"(-9.205479194185898, -77.04750099880148)","Ruta 842-CH, km 9, Región de Los Ríos",$3200.90 USD,---,6,vivienda,287.49 mts2
"(-9.366131658042647, -75.89098043098097)","Lautaro 13 Piso 98
La Serena, Región de Coquimbo",$4106.97 USD,---,1,oficinas,1375.97 mts2
"(-8.332893286800413, -75.47935866160678)","Los Palmitos 20 Piso 9
Corral, Región de Los Ríos, 1501720",$4596.10 USD,---,10,vivienda,1155.98 mts2
"(-11.013985547722665, -76.54084986878878)","Ruta 5 Sur, km 266",$4739.31 USD,---,6,comercial,784.67 mts2
"(-10.317729479668968, -72.53831320157562)","Héctor Bravo 96 Dpto. 148
Ollagüe, Región de Antofagasta, 9551350",$2998.31 USD,---,3,vivienda,193.86 mts2
"(-10.886933808683946, -75.94780056862945)","Calle Claudia Gómez 709
Hualañé, Región del Maule",$4195.68 USD,---,7,comercial,1647.79 mts2
"(-11.739326184836086, -74.62862052465042)","Calle José Godoy 8842 Of. 328
Maullín, Región de Los Lagos, 1463450",$2054.04 USD,---,8,vivienda,516.80 mts2
"(-10.15959674688031, -71.97755561046954)","Avda. José Toro 327
Curaco de Vélez, Región de Los Lagos",$3779.88 USD,---,4,oficinas,1542.70 mts2
"(-10.411119961806731, -70.13060580840191)","Av. Natalie Olguín 888 Piso 6
Santa Cruz, Región del Libertador General Bernardo O'Higgins, 3167850",$2556.87 USD,---,10,oficinas,1759.57 mts2
"(-9.095246726450622, -75.68485005843782)","Av. Pedro Montt 6682 Piso 3
Salamanca, Región de Coquimbo",$4690.06 USD,---,10,vivienda,241.75 mts2
"(-10.771962261024896, -70.61886289859697)","Manuel Baquedano 966
Mostazal, Región del Libertador General Bernardo O'Higgins, 4081520",$3711.32 USD,---,10,oficinas,540.57 mts2
"(-10.431036073461863, -74.41320411299233)","Matta 4 Dpto. 508
Camarones, Región de Arica y Parinacota",$4156.34 USD,---,0,vivienda,1747.12 mts2
"(-11.122547788863868, -72.09443121152648)","Calle Christian Araya 5815
Yungay, Región de Ñuble",$3534.51 USD,---,0,comercial,22.50 mts2
"(-12.275436378614083, -73.54407504982322)","Calle Martín Ríos 69
Limache, Región de Valparaíso, 3717280",$4949.73 USD,---,3,vivienda,229.99 mts2
"(-12.55770967454375, -74.31165734687531)","Richard Flores 2676 Of. 6092
La Florida, Región Metropolitana, 3357310",$4464.08 USD,---,8,oficinas,453.00 mts2
"(-8.698404465511947, -75.65512964358966)","Lautaro 7574
Copiapó, Región de Atacama, 6129580",$3123.26 USD,---,0,comercial,1354.75 mts2
"(-10.339882743321064, -73.8628912153912)","Calle Alondra Barra 581 Of. 578
Porvenir, Región de Magallanes y de la Antártica Chilena",$4258.24 USD,---,2,comercial,797.87 mts2
"(-9.081335307857822, -73.99945452702957)","Ruta 5 Norte, km 687",$4225.07 USD,---,5,vivienda,51.32 mts2
"(-9.359324553511627, -76.69995674456509)","Ruta 5 Norte, km 534",$2589.73 USD,---,4,comercial,1175.81 mts2
"(-12.324592596541287, -72.89943466818247)","Angelo Rodríguez 978 Dpto. 4673
Lota, Región del Biobío",$3812.83 USD,---,6,comercial,140.58 mts2
"(-7.214040756655325, -73.81409989008358)","Ruta 498-CH, km 4, Región de Antofagasta",$2341.17 USD,---,0,comercial,335.28 mts2
"(-9.322406332753408, -73.38741989193718)","Psje. Diego Barros Arana 921
Los Lagos, Región de Los Ríos, 4402590",$2138.32 USD,---,7,comercial,1352.16 mts2
"(-10.192578641905738, -76.23512246109183)","Esmeralda 8 Dpto. 4619
Quilleco, Región del Biobío, 5780370",$2538.22 USD,---,6,comercial,725.62 mts2
"(-8.757601603328, -78.44848416608568)","Ruta 5 Norte, km 247",$2229.16 USD,---,9,oficinas,862.67 mts2
"(-11.703897200732372, -75.83771711105177)","Caupolicán 3607 Of. 732
Pedro Aguirre Cerda, Región Metropolitana",$2133.24 USD,---,8,comercial,11.91 mts2
"(-6.778789834810699, -71.71332878330543)","Calle Elisa Ramírez 8534
Máfil, Región de Los Ríos, 7640240",$2209.26 USD,---,3,oficinas,1046.35 mts2
"(-10.648272204316951, -73.4798461751179)","Arturo Prat 60
La Cruz, Región de Valparaíso",$3526.94 USD,---,3,vivienda,332.37 mts2
"(-10.245763887072378, -74.92883497679003)","Avda. Los Higos 52
Palmilla, Región del Libertador General Bernardo O'Higgins, 0343510",$4933.27 USD,---,10,comercial,540.73 mts2
"(-9.863329494620894, -77.29533530872389)","Avda. Lautaro 6961 Dpto. 57
Queilén, Región de Los Lagos",$4586.20 USD,---,1,vivienda,134.99 mts2
"(-9.852061239895678, -75.87809687473494)","Gaspar Rojo 7460 Piso 7
Tomé, Región del Biobío",$3887.58 USD,---,9,oficinas,972.92 mts2
"(-11.10867709769964, -75.03248683764478)","Laura Vera 3850 Dpto. 6251
Placilla, Región del Libertador General Bernardo O'Higgins",$4460.22 USD,---,1,oficinas,757.45 mts2
"(-8.299683557206023, -73.39114898878553)","Jorge Escobar 9897 Piso 29
Lo Espejo, Región Metropolitana",$3517.18 USD,---,10,oficinas,1079.74 mts2
"(-10.177591412830381, -78.76433482441865)","Las Maravillas 1592
Arauco, Región del Biobío",$2470.44 USD,---,3,comercial,70.40 mts2
"(-10.896226187539051, -74.6127323535525)","Calle Manuel Rodríguez 6115 Dpto. 772
Villa Alegre, Región del Maule, 9816520",$3509.78 USD,---,2,oficinas,1756.88 mts2
"(-9.881821655629999, -81.04720837819391)","Las Margaritas 228 Of. 348
Los Muermos, Región de Los Lagos, 9305730",$3119.36 USD,---,4,comercial,1733.14 mts2
"(-10.171809578983792, -74.13043333458245)","Calle Las Rosas 149 Piso 1
Purranque, Región de Los Lagos, 4546660",$3176.40 USD,---,1,comercial,1326.85 mts2
"(-10.38960362384026, -73.54750114750159)","Ruta U-611, km 18, Región de Valparaíso",$4240.16 USD,---,1,comercial,988.52 mts2
"(-12.020363292601171, -71.71059664616985)","Las Azucenas 649
Antuco, Región del Biobío",$4614.08 USD,---,6,vivienda,601.81 mts2
