loc,address,value,geo,levels,type,size
"(-10.865850283726456, -75.38226601471979)","Ruta 251-CH, km 1, Región de Aysén del General Carlos Ibáñez del Campo",$4557.53 USD,---,5,comercial,295.45 mts2
"(-10.431629857933316, -74.14777587231603)","Pedro Aguirre Cerda 325 Piso 3
Máfil, Región de Los Ríos",$2978.52 USD,---,7,comercial,1911.77 mts2
"(-11.933777532641294, -74.28191116749223)","Pedro Montt 278 Of. 560
Fresia, Región de Los Lagos, 3452530",$2305.01 USD,---,1,oficinas,1288.75 mts2
"(-10.734120014301743, -73.1634437478838)","Ruta 5 Sur, km 196",$3352.31 USD,---,0,oficinas,1587.40 mts2
"(-11.624961843888606, -75.26594220118866)","Avenida Padre Alberto Hurtado 59
San Ignacio, Región de Ñuble, 9495070",$2015.79 USD,---,0,vivienda,1473.16 mts2
"(-10.06409182099356, -78.25408231194855)","Las Azucenas 63 Piso 5
Natales, Región de Magallanes y de la Antártica Chilena, 5470030",$3717.02 USD,---,5,vivienda,1223.15 mts2
"(-10.398515416810813, -74.3637617972715)","Ruta 5 Norte, km 800",$2143.05 USD,---,0,vivienda,502.99 mts2
"(-11.769160094712342, -75.02623309273461)","Los Alerces 309
Navidad, Región del Libertador General Bernardo O'Higgins",$4645.75 USD,---,9,vivienda,51.78 mts2
"(-13.415843446456888, -76.38171244650901)","Calle Caupolicán 208 Dpto. 828
Llanquihue, Región de Los Lagos",$3439.22 USD,---,4,comercial,1604.69 mts2
"(-9.240183747073289, -78.33364156917175)","Calle Ángela Rojas 6 Of. 4721
Pica, Región de Tarapacá",$3283.97 USD,---,1,vivienda,1403.50 mts2
"(-12.02602393130689, -77.34014663114064)","Los Robles 907 Dpto. 06
San José de Maipo, Región Metropolitana, 6553060",$3314.43 USD,---,0,oficinas,249.31 mts2
"(-9.631645968901644, -72.67418970456654)","Joaquín Valdés 7924 Dpto. 762
Antártica, Región de Magallanes y de la Antártica Chilena, 6669400",$2507.28 USD,---,7,comercial,318.21 mts2
"(-10.147438463180425, -73.04397426022459)","Padre Alberto Hurtado 17
Collipulli, Región de La Araucanía",$3525.35 USD,---,0,vivienda,1060.24 mts2
"(-9.685747515294494, -78.68174072762744)","Las Mandarinas 43
Vichuquén, Región del Maule",$2325.91 USD,---,4,oficinas,213.59 mts2
"(-12.404433558761287, -75.91025982840927)","Av. Arturo Prat 24
San Esteban, Región de Valparaíso",$4664.18 USD,---,8,comercial,1124.67 mts2
"(-10.927094519801633, -78.44903786757904)","Calle Las Rosas 499
Codegua, Región del Libertador General Bernardo O'Higgins, 1878590",$2436.50 USD,---,7,comercial,1245.47 mts2
"(-9.976061834549702, -71.45466703338606)","Ruta T-39, km 1, Región del Libertador General Bernardo O'Higgins",$2096.69 USD,---,3,comercial,1097.53 mts2
"(-11.682911869127482, -75.56793311939454)","Ruta T-49, km 27, Región de La Araucanía",$2510.06 USD,---,8,oficinas,1754.29 mts2
"(-10.65100358002151, -78.46662048322517)","Pasaje Byron Jiménez 54 Of. 5397
Cauquenes, Región del Maule",$4781.30 USD,---,6,vivienda,970.82 mts2
"(-12.648988363993034, -76.66648106996757)","Ruta 342-CH, km 35, Región de Los Lagos",$2750.91 USD,---,8,vivienda,191.35 mts2
"(-10.258514830306835, -76.60361987124197)","Ruta U-310, km 29, Región de Tarapacá",$3529.71 USD,---,9,vivienda,335.15 mts2
"(-10.57522934630469, -76.30163484059456)","Calle Los Alerces 3498
Colchane, Región de Tarapacá",$2003.49 USD,---,5,comercial,652.00 mts2
"(-10.925332707350071, -76.59551738282137)","Calle Loreto Reyes 1
La Serena, Región de Coquimbo",$4927.79 USD,---,4,vivienda,629.21 mts2
"(-10.959749630844106, -74.30538252658378)","Calle León Poblete 44 Piso 45
Romeral, Región del Maule",$2110.28 USD,---,2,oficinas,1246.57 mts2
"(-12.559888084372052, -75.98008078568394)","Rodrigo Alarcón 128 Of. 5735
Quilpué, Región de Valparaíso",$3095.91 USD,---,4,comercial,1578.02 mts2
"(-8.898339166254138, -75.29873599151365)","Calle Los Pinos 738 Piso 4
Chillán Viejo, Región de Ñuble, 9333110",$3967.16 USD,---,4,comercial,823.70 mts2
"(-10.521773790510691, -73.31319862048741)","Ruta 5 Norte, km 807",$2976.79 USD,---,9,comercial,1149.55 mts2
"(-10.68171525897466, -74.71919913768036)","Avda. Los Piñones 342
Talca, Región del Maule",$2849.98 USD,---,8,oficinas,83.51 mts2
"(-13.899422500033154, -75.33509050607783)","Av. Jaime Garcés 90 Of. 908
Teno, Región del Maule, 0715890",$4474.73 USD,---,5,comercial,1067.50 mts2
"(-11.563357150774268, -76.96569375730935)","Los Palmitos 221 Dpto. 347
Río Hurtado, Región de Coquimbo, 2566500",$3041.07 USD,---,5,oficinas,1675.42 mts2
"(-9.910617303562413, -75.63571658727639)","Avenida Las Mosquetas 3546
Panquehue, Región de Valparaíso, 2366650",$2671.34 USD,---,0,vivienda,1617.49 mts2
"(-7.972985501064611, -77.22109577202355)","Ruta T-38, km 26, Región de Arica y Parinacota",$2803.40 USD,---,9,oficinas,347.28 mts2
"(-8.057364239460057, -76.91942007669115)","Ruta 5 Norte, km 825",$2770.92 USD,---,6,comercial,1477.11 mts2
"(-10.91543641361615, -73.57476584912618)","Psje. Paula Jaraquemada 9001
Coinco, Región del Libertador General Bernardo O'Higgins",$2935.40 USD,---,9,vivienda,49.40 mts2
"(-10.218186200630818, -75.79440551277288)","Los Copihues 4930
Santa Juana, Región del Biobío",$4142.60 USD,---,4,vivienda,1042.54 mts2
"(-11.703103749717728, -78.69139453373661)","Manuel Rodríguez 337 Of. 5245
Quillota, Región de Valparaíso, 2281840",$4272.89 USD,---,4,comercial,1483.14 mts2
"(-8.931846259841961, -78.16859128112728)","Calle Rosa Contreras 8326
Timaukel, Región de Magallanes y de la Antártica Chilena",$4834.95 USD,---,9,comercial,629.27 mts2
"(-10.99996375571358, -73.3309803357814)","Alonso de Ribera 594 Of. 3912
Huara, Región de Tarapacá, 8386970",$3383.05 USD,---,10,comercial,1216.27 mts2
"(-9.422722340616843, -74.73162377013651)","Los Coihues 3205 Of. 355
Zapallar, Región de Valparaíso, 9617520",$2966.40 USD,---,0,comercial,1723.59 mts2
"(-9.18617487733241, -78.1030008899703)","Álvaro Pacheco 8 Piso 25
La Serena, Región de Coquimbo",$2560.16 USD,---,9,comercial,1743.04 mts2
"(-11.713127651445564, -75.03813863432455)","Avda. Los Robles 281
Coltauco, Región del Libertador General Bernardo O'Higgins",$2545.28 USD,---,1,oficinas,1367.50 mts2
"(-12.85385885975486, -76.41623162392328)","Calle Agustina Muñoz 8
Santa Cruz, Región del Libertador General Bernardo O'Higgins",$2810.24 USD,---,6,comercial,1877.05 mts2
"(-8.822983733949894, -76.98725760169314)","Alonso de Ribera 663
Santa Cruz, Región del Libertador General Bernardo O'Higgins",$3996.10 USD,---,4,comercial,716.82 mts2
"(-11.332320968670599, -70.86339867215351)","Calle Julio Villablanca 8398
Pelluhue, Región del Maule, 5054610",$3438.09 USD,---,7,comercial,411.12 mts2
"(-10.704597130304935, -73.93936458394151)","Avenida Viviana Sepúlveda 55
Hualqui, Región del Biobío, 7367440",$3910.98 USD,---,2,vivienda,1484.34 mts2
"(-11.286589702095627, -74.94211184230564)","Av. Ítalo Cornejo 339 Dpto. 38
Providencia, Región Metropolitana",$4539.10 USD,---,8,vivienda,474.93 mts2
"(-9.969218839650921, -75.70901085647918)","Los Alerces 4145 Of. 186
Talca, Región del Maule, 4671540",$3960.70 USD,---,1,oficinas,1569.47 mts2
"(-12.083453605152217, -75.76947555826352)","Antonia Fernández 777 Of. 461
Juan Fernández, Región de Valparaíso",$4002.02 USD,---,3,oficinas,823.25 mts2
"(-10.091456912897732, -75.24044431972692)","Pasaje Manuel Rodríguez 13 Of. 8125
Curicó, Región del Maule",$2174.63 USD,---,0,oficinas,539.51 mts2
"(-8.45004499771084, -75.67759142512689)","Calle Manuel Baquedano 921
Romeral, Región del Maule",$3973.55 USD,---,1,vivienda,1037.03 mts2
"(-11.21091428051916, -73.14013014706308)","Los Tilos 22 Piso 6
Mulchén, Región del Biobío, 4854460",$4006.71 USD,---,0,oficinas,1452.06 mts2
"(-11.69126111441842, -77.0440898231729)","Avenida Arturo Alessandri Palma 2003 Of. 1437
Chanco, Región del Maule, 2356900",$4325.94 USD,---,8,comercial,589.12 mts2
"(-10.76205026666633, -75.71295995697261)","Daniela Pino 85 Piso 4
Coihueco, Región de Ñuble",$3986.72 USD,---,10,vivienda,1609.68 mts2
"(-11.770193102591039, -71.91795453804643)","Calle Las Maravillas 929 Dpto. 8422
Chanco, Región del Maule, 4537080",$2696.07 USD,---,10,oficinas,590.92 mts2
"(-12.523741998898362, -76.4352660450361)","Juan Ortiz 6 Piso 2
Cerro Navia, Región Metropolitana, 7029770",$2545.21 USD,---,9,oficinas,480.60 mts2
"(-10.473265616123474, -71.61640986549314)","Calle Gabriela Mistral 6244 Of. 1005
Yungay, Región de Ñuble, 9214810",$3378.44 USD,---,3,comercial,687.51 mts2
"(-9.663458202599735, -80.03031436575657)","Calle Sara Pérez 832
Los Álamos, Región del Biobío, 8278410",$4617.19 USD,---,8,comercial,1061.55 mts2
"(-13.87566330250489, -71.29709143162864)","Caupolicán 45
Rinconada, Región de Valparaíso",$4868.20 USD,---,6,oficinas,779.69 mts2
"(-9.895508565264842, -74.3622702194671)","Segundo Sepúlveda 91 Dpto. 5341
Coelemu, Región de Ñuble",$4325.86 USD,---,0,oficinas,588.40 mts2
"(-10.169547671479496, -76.2709396053483)","Los Girasoles 562
Renca, Región Metropolitana",$2660.06 USD,---,4,oficinas,1146.61 mts2
"(-9.761682429358066, -74.26171158042109)","Los Alerces 839
Alhué, Región Metropolitana, 8866210",$3224.52 USD,---,8,oficinas,581.33 mts2
"(-9.518704522410559, -77.17110696765177)","Av. Pascuala Navarro 7
Puyehue, Región de Los Lagos, 8388880",$3527.10 USD,---,5,oficinas,88.33 mts2
"(-9.95343492253162, -75.11542300177696)","Gabriela Oyarzo 98
Curacautín, Región de La Araucanía",$4687.95 USD,---,2,vivienda,466.34 mts2
"(-8.898756666269364, -78.50417934948823)","Andrés Muñoz 596
Camiña, Región de Tarapacá, 1213230",$2241.89 USD,---,0,oficinas,1651.53 mts2
"(-11.644231991336087, -74.52471928310075)","Calle Ricardo Muñoz 246
El Bosque, Región Metropolitana, 7664510",$2653.21 USD,---,5,vivienda,1966.70 mts2
"(-11.574108880200312, -73.30684417806953)","Calle Camilo Henríquez 42
Aisén, Región de Aysén del General Carlos Ibáñez del Campo",$2132.82 USD,---,6,oficinas,1784.97 mts2
"(-12.804006563900055, -74.60629016093411)","Avda. Las Mandarinas 680
María Pinto, Región Metropolitana, 1416100",$4787.37 USD,---,3,vivienda,460.45 mts2
"(-9.904693298662144, -75.47254235467805)","Ruta 967-CH, km 23, Región del Libertador General Bernardo O'Higgins",$4996.98 USD,---,1,comercial,690.88 mts2
"(-8.967978273272815, -77.93545037170492)","Av. Arturo Prat 82 Piso 44
Collipulli, Región de La Araucanía, 7975250",$2862.63 USD,---,1,vivienda,1332.54 mts2
"(-10.268294532463397, -74.9817133482122)","Camino Luis Hidalgo 324
Pudahuel, Región Metropolitana",$3924.07 USD,---,1,vivienda,1883.54 mts2
"(-9.167114876981595, -77.60357942160374)","Gonzalo Aravena 908
Ninhue, Región de Ñuble, 4505840",$2858.26 USD,---,3,oficinas,1894.25 mts2
"(-11.76591664412916, -74.27871732825179)","Ruta U-482, km 22, Región Metropolitana",$4436.14 USD,---,7,vivienda,679.22 mts2
"(-9.582791237293616, -75.1741271125178)","Fanny Torres 4069
Pencahue, Región del Maule, 1761520",$2283.19 USD,---,5,comercial,1387.31 mts2
"(-7.104543353171934, -76.01146750246991)","Ruta 569-CH, km 15, Región de La Araucanía",$4948.66 USD,---,4,vivienda,886.50 mts2
"(-13.576108693242578, -70.60343142813028)","Los Lirios 219
Aisén, Región de Aysén del General Carlos Ibáñez del Campo",$3278.02 USD,---,4,oficinas,1694.25 mts2
"(-10.347133404687876, -72.56899855022)","Ruta 5 Norte, km 631",$4744.47 USD,---,10,vivienda,397.48 mts2
"(-11.698971725438119, -75.62840986627401)","Pasaje Raúl Gaete 185 Piso 46
Zapallar, Región de Valparaíso",$4340.31 USD,---,7,oficinas,1508.25 mts2
"(-9.74531079324446, -73.91620407819549)","Ruta 5 Sur, km 261",$3603.00 USD,---,4,oficinas,1870.74 mts2
"(-9.536252280656369, -72.21650396740439)","Calle Camilo Henríquez 41 Piso 98
Chillán, Región de Ñuble, 8793550",$4477.44 USD,---,0,oficinas,1517.62 mts2
"(-10.80828950076632, -75.0346792359695)","Carolina Espinoza 611
La Pintana, Región Metropolitana",$3084.71 USD,---,2,vivienda,985.09 mts2
"(-10.15167532441483, -74.8951349039647)","Avda. Los Coihues 8835 Of. 2118
Canela, Región de Coquimbo, 2870160",$4582.78 USD,---,6,oficinas,792.83 mts2
"(-9.248522276540907, -75.52081635483617)","Avenida Los Aromos 23 Dpto. 624
Alto Hospicio, Región de Tarapacá",$4570.14 USD,---,8,oficinas,762.41 mts2
"(-11.336231618482337, -73.18605801314408)","Ruta 5 Sur, km 722",$4782.91 USD,---,3,comercial,1509.50 mts2
"(-9.828007861387613, -74.76019160552673)","Carlos Ramírez 474
Rinconada, Región de Valparaíso",$2855.00 USD,---,8,vivienda,340.34 mts2
"(-13.499072216458133, -77.81536721052485)","Calle Las Rosas 67
San Bernardo, Región Metropolitana, 1681660",$3001.58 USD,---,7,vivienda,615.75 mts2
"(-11.948521191850983, -76.96629367363057)","Florencia Ramos 31
Galvarino, Región de La Araucanía",$4414.46 USD,---,0,oficinas,555.22 mts2
"(-10.729433413775848, -72.56173758239335)","Avda. Sara Pereira 762
Padre Hurtado, Región Metropolitana, 2792590",$4661.99 USD,---,10,oficinas,1156.45 mts2
"(-9.681032751759501, -73.03546334408804)","Calle Los Piñones 10
Timaukel, Región de Magallanes y de la Antártica Chilena, 2762530",$3432.06 USD,---,5,oficinas,943.29 mts2
"(-10.166856901081282, -76.33826140365547)","Calle Las Rosas 5248 Dpto. 392
Linares, Región del Maule",$4144.46 USD,---,10,oficinas,1522.30 mts2
"(-9.675252905297347, -74.6066584862983)","Ruta T-80, km 7, Región de Los Lagos",$4664.95 USD,---,0,comercial,1265.19 mts2
"(-10.789753718912793, -72.38985043000531)","Matías Hernández 822
Empedrado, Región del Maule",$2272.63 USD,---,6,vivienda,1752.36 mts2
"(-8.211599037549949, -73.64874352196381)","Los Lirios 662
Ovalle, Región de Coquimbo, 5602880",$3915.19 USD,---,0,oficinas,975.72 mts2
"(-9.905321205689807, -72.31535253716942)","Pasaje Juan Olivares 6
La Granja, Región Metropolitana, 5717390",$2328.58 USD,---,9,comercial,1726.02 mts2
"(-12.436725618273883, -75.91064111640328)","Avenida Irarrázabal 71
Graneros, Región del Libertador General Bernardo O'Higgins",$3284.97 USD,---,5,comercial,230.87 mts2
"(-10.965771766638298, -73.30496163148051)","José Castro 565
Villarrica, Región de La Araucanía, 5803570",$4417.46 USD,---,8,comercial,527.61 mts2
"(-8.55436523519305, -77.84569279667168)","Ruta T-63, km 16, Región de Los Ríos",$2350.48 USD,---,10,oficinas,194.88 mts2
"(-9.876863187258452, -77.47258400151317)","Las Mandarinas 9961 Piso 2
Paine, Región Metropolitana, 5556180",$4251.57 USD,---,10,oficinas,1664.07 mts2
"(-10.783512348623034, -75.51172180124607)","Calle Constanza Díaz 21
Nancagua, Región del Libertador General Bernardo O'Higgins, 1935320",$4980.73 USD,---,0,comercial,1519.86 mts2
"(-12.009982075064341, -72.55090278929937)","Calle Samuel Sanhueza 415 Dpto. 340
Licantén, Región del Maule, 1541980",$2977.31 USD,---,9,comercial,1762.17 mts2
"(-9.61147869198393, -76.11916202989211)","Sebastián Lagos 77
San Fabián, Región de Ñuble, 8443810",$3029.73 USD,---,6,comercial,1731.44 mts2
"(-8.774761940606469, -77.14347026109934)","Lautaro 92
Caldera, Región de Atacama",$4967.56 USD,---,4,oficinas,1971.35 mts2
"(-11.79398572027532, -70.44919670203083)","Pedro Aguirre Cerda 3856 Dpto. 115
Casablanca, Región de Valparaíso",$4421.45 USD,---,3,comercial,1530.37 mts2
"(-10.042021114229463, -74.99340740035203)","Lautaro 7412 Of. 7024
Isla  de Pascua, Región de Valparaíso",$2624.56 USD,---,9,comercial,693.91 mts2
"(-9.720610547982536, -75.59101591006582)","Avda. Manuel Rodríguez 520
Pirque, Región Metropolitana, 5402550",$3766.90 USD,---,0,oficinas,886.55 mts2
"(-11.629811481733094, -74.44364095346985)","Los Higos 755 Of. 286
Laguna Blanca, Región de Magallanes y de la Antártica Chilena, 4421340",$3250.51 USD,---,7,comercial,790.41 mts2
"(-12.259687981544937, -75.0482807135054)","Ruta T-75, km 5, Región de Aysén del General Carlos Ibáñez del Campo",$3663.90 USD,---,6,comercial,345.26 mts2
"(-11.903377559209174, -73.3675563453162)","Ruta 5 Sur, km 695",$2921.06 USD,---,4,vivienda,1482.22 mts2
"(-10.552095689180396, -74.71471971631556)","Calle Manuel Rodríguez 5824 Dpto. 83
Lo Espejo, Región Metropolitana, 2641040",$4331.88 USD,---,2,comercial,1144.16 mts2
"(-13.542134135650194, -73.56914397631228)","Calle Los Naranjos 1174 Of. 971
San Pedro, Región Metropolitana",$4724.01 USD,---,7,comercial,1242.48 mts2
"(-8.74270417139135, -75.13804999225603)","Calle Juan González 5
Cunco, Región de La Araucanía, 8207920",$3030.95 USD,---,0,comercial,624.36 mts2
"(-11.091155710772252, -72.80141463503983)","Ruta 5 Norte, km 384",$4784.44 USD,---,9,oficinas,1257.55 mts2
"(-10.026397264081604, -72.20942051201384)","Los Tilos 7188
Ránquil, Región de Ñuble",$3773.22 USD,---,2,comercial,46.42 mts2
"(-9.911966040027748, -73.799870548102)","Calle Miriam Delgado 5323
Catemu, Región de Valparaíso, 4519490",$3357.48 USD,---,7,comercial,948.20 mts2
"(-11.946592225219558, -77.00499782875796)","Manuel Rodríguez 870 Piso 3
Huara, Región de Tarapacá, 4848990",$4740.65 USD,---,3,oficinas,1447.64 mts2
"(-10.033784483659943, -77.63695045904142)","Los Digitales 1
Colbún, Región del Maule",$2361.71 USD,---,9,vivienda,1733.44 mts2
"(-11.393527624043418, -74.27022482721578)","Calle Las Mosquetas 972 Piso 28
Puchuncaví, Región de Valparaíso, 4537250",$2678.85 USD,---,4,comercial,1986.16 mts2
"(-13.504404742022068, -77.04584645114063)","Jorge Vera 417
Rinconada, Región de Valparaíso, 4141900",$4573.69 USD,---,9,comercial,952.50 mts2
"(-8.767446581854974, -72.27198687438703)","Hilda Montecino 79 Piso 1
Cabildo, Región de Valparaíso, 1109000",$2977.81 USD,---,6,comercial,1223.55 mts2
"(-10.898160509921556, -74.05938519975376)","Arturo Prat 6 Of. 627
La Reina, Región Metropolitana, 5294150",$3841.18 USD,---,5,comercial,1114.96 mts2
"(-9.60960309805994, -76.17598302381322)","Portales 85 Of. 9098
Cochamó, Región de Los Lagos, 9484530",$3247.05 USD,---,6,vivienda,573.83 mts2
"(-10.777285018391357, -72.86306349462701)","Ruta 5 Norte, km 476",$2355.20 USD,---,10,comercial,1572.81 mts2
"(-9.319621505709426, -75.32554561702672)","Calle Alonso de Ercilla 791
Marchihue, Región del Libertador General Bernardo O'Higgins",$2878.98 USD,---,3,oficinas,688.78 mts2
"(-8.484504045074528, -73.48010060850959)","Ruta 5 Norte, km 314",$4248.21 USD,---,7,oficinas,503.63 mts2
"(-10.84567296016946, -79.36484220769934)","Ruta 5 Norte, km 949",$3548.90 USD,---,3,vivienda,1454.73 mts2
"(-8.106742795048838, -75.53370236918482)","Eliodoro Yáñez 219
Calle Larga, Región de Valparaíso",$3429.11 USD,---,4,comercial,1936.04 mts2
"(-11.135995088290743, -72.22250511573046)","Ruta U-458, km 3, Región de Magallanes y de la Antártica Chilena",$4097.38 USD,---,6,vivienda,757.04 mts2
"(-10.13296578665751, -71.95293388066828)","Camino Diego Ramírez 120 Of. 3486
Las Condes, Región Metropolitana",$4631.24 USD,---,9,vivienda,859.61 mts2
"(-9.493944466554225, -73.72855788991485)","Ruta 5 Sur, km 562",$4679.76 USD,---,1,vivienda,605.86 mts2
"(-9.675626516947025, -80.46194704354845)","Ruta 5 Sur, km 362",$2636.55 USD,---,10,oficinas,844.82 mts2
"(-11.474207489591132, -73.53162666370282)","Calle Magdalena Salinas 144
Gorbea, Región de La Araucanía, 9194860",$4424.15 USD,---,9,oficinas,712.52 mts2
"(-10.890449105330763, -77.59331538893207)","Los Laureles 40 Piso 95
Portezuelo, Región de Ñuble, 2138610",$3658.17 USD,---,1,comercial,1637.34 mts2
"(-12.796410814302922, -74.61787436917112)","Av. Los Carrera 6703 Piso 51
Penco, Región del Biobío, 6596430",$2084.01 USD,---,3,comercial,638.75 mts2
"(-8.162568963644679, -77.70490373643307)","Ruta 5 Norte, km 631",$2549.82 USD,---,8,comercial,338.64 mts2
"(-12.333334159677062, -75.07141378961664)","Calle Los Digitales 1389
San José de Maipo, Región Metropolitana",$2251.90 USD,---,1,comercial,618.97 mts2
"(-11.752600629146617, -76.1320753040772)","Esmeralda 510
La Reina, Región Metropolitana",$3686.59 USD,---,2,oficinas,1540.42 mts2
"(-9.629658874625687, -75.07914458155423)","Ruta T-70, km 32, Región de Antofagasta",$2748.84 USD,---,2,comercial,1513.53 mts2
"(-10.550238316686784, -76.62686593714122)","Amparo Pino 433 Dpto. 4449
San Carlos, Región de Ñuble, 5109000",$2151.90 USD,---,7,vivienda,181.62 mts2
"(-7.500430118794233, -79.37956851131658)","Psje. Bernardo O'Higgins 55 Piso 3
Peralillo, Región del Libertador General Bernardo O'Higgins, 9763400",$2448.70 USD,---,4,vivienda,610.18 mts2
"(-11.733768429101332, -77.17161714412966)","Las Mosquetas 438
La Estrella, Región del Libertador General Bernardo O'Higgins, 9134730",$2248.42 USD,---,1,comercial,1488.85 mts2
"(-9.424129110697855, -74.99517995122662)","Aníbal Pinto Garmendia 7640 Of. 4916
Juan Fernández, Región de Valparaíso, 9999150",$3555.35 USD,---,3,oficinas,1548.45 mts2
"(-9.919770187848377, -77.50899036256018)","Las Mosquetas 33
Pelarco, Región del Maule",$4026.37 USD,---,7,vivienda,1250.23 mts2
"(-11.726871772499994, -78.74819132387942)","Calle Arturo Prat 18 Of. 6492
Peumo, Región del Libertador General Bernardo O'Higgins, 1042340",$2267.63 USD,---,7,vivienda,868.16 mts2
"(-9.547630247546742, -72.24278085949462)","Las Hortensias 1 Of. 6655
Angol, Región de La Araucanía, 8485040",$3938.88 USD,---,0,vivienda,1175.99 mts2
"(-10.399001397581612, -74.26748513500392)","Ruta 5 Norte, km 749",$2890.96 USD,---,5,comercial,919.08 mts2
"(-10.289097862277233, -76.78792992457663)","Calle Eusebio Lillo 8 Of. 269
Puerto Varas, Región de Los Lagos",$2057.94 USD,---,8,oficinas,1713.80 mts2
"(-12.360318392138128, -74.42665509536376)","Av. Cristian Ibarra 96
Los Lagos, Región de Los Ríos, 8171380",$4583.74 USD,---,10,vivienda,1987.33 mts2
"(-9.94487767280604, -73.13216954256946)","Calle Francisca Cifuentes 6774 Dpto. 115
Empedrado, Región del Maule, 3729760",$4775.97 USD,---,4,comercial,575.08 mts2
"(-12.141105204752995, -74.30547479268282)","Calle José de San Martín 541
Melipilla, Región Metropolitana, 0618600",$3164.55 USD,---,5,vivienda,1790.60 mts2
"(-9.201015511691855, -75.57152668249785)","Manuel Rodríguez 446
Algarrobo, Región de Valparaíso",$2547.51 USD,---,0,comercial,1348.59 mts2
"(-9.193068397623518, -72.57353076392988)","Calle Paula Jaraquemada 75 Dpto. 988
Los Lagos, Región de Los Ríos",$3701.63 USD,---,10,vivienda,1269.39 mts2
"(-11.61953911647052, -72.66022891696771)","Calle Las Mosquetas 67
Alto Biobío, Región del Biobío, 2619980",$4466.33 USD,---,10,oficinas,729.26 mts2
"(-10.37638386706095, -77.10736850901316)","Avda. Las Hortensias 59 Dpto. 05
Panquehue, Región de Valparaíso",$2106.79 USD,---,10,oficinas,956.11 mts2
"(-11.558737959373266, -73.72678204965334)","Benjamín Vicuña Mackenna 57
Ninhue, Región de Ñuble",$4423.87 USD,---,1,comercial,1376.60 mts2
"(-9.31034456701641, -78.64254550639224)","Calle Las Hortensias 7572 Piso 9
Olmué, Región de Valparaíso, 1064500",$4264.68 USD,---,7,vivienda,128.50 mts2
"(-10.730342485219692, -75.0790196849383)","Calle Domingo Santa María 138
Huasco, Región de Atacama, 6589380",$2120.25 USD,---,7,oficinas,1996.34 mts2
"(-11.214283017809134, -75.00723978157305)","Diego Portales 559
San Pedro de Atacama, Región de Antofagasta",$2684.81 USD,---,9,vivienda,1624.59 mts2
"(-12.00168515468507, -76.80825352824)","Calle David Peña 1846
Villa Alemana, Región de Valparaíso",$2971.50 USD,---,1,vivienda,278.82 mts2
"(-11.304288452374987, -76.52193002796777)","Gabriela Mistral 1826
Loncoche, Región de La Araucanía",$4655.88 USD,---,2,comercial,1877.77 mts2
"(-10.929432230990447, -73.53395763659103)","Avenida Abel Rosas 9758 Piso 45
Valparaíso, Región de Valparaíso",$4266.76 USD,---,2,vivienda,632.21 mts2
"(-12.53446402992276, -75.05893375122764)","Francisco Sánchez 1485 Dpto. 289
Máfil, Región de Los Ríos",$2060.63 USD,---,2,vivienda,30.92 mts2
"(-8.172642409117339, -75.62458944865047)","Las Malvas 1
Quirihue, Región de Ñuble",$4203.70 USD,---,4,oficinas,502.24 mts2
"(-12.146272732547367, -69.91865468630154)","Baquedano 41
Conchalí, Región Metropolitana, 0897090",$2554.57 USD,---,7,comercial,416.34 mts2
"(-11.379888379140422, -79.781978460795)","Calle Las Rosas 2 Piso 2
Calera, Región de Valparaíso",$3076.82 USD,---,9,oficinas,1800.53 mts2
